customer_id,first_name,last_name,email,phone,loyalty_points,join_date
1,Peggy,Broadway,pbroadway0@blogspot.com,(998) 3726288,537,2025-07-04
2,Elyn,Bounds,ebounds1@nifty.com,(122) 1548014,122,2024-08-29
3,Vania,Leamy,vleamy2@cmu.edu,(295) 1951623,376,2025-01-19
4,Viki,Barnish,vbarnish3@microsoft.com,(444) 2863814,580,2025-10-18
5,Aleksandr,Groll,agroll4@yellowbook.com,(854) 5679125,109,2024-06-28
6,Marjy,Feares,mfeares5@weibo.com,(273) 7964951,82,2023-12-30
7,Heloise,Heindle,hheindle6@accuweather.com,(224) 3434833,215,2025-10-19
8,Kala,Predohl,kpredohl7@desdev.cn,(934) 5081631,376,2025-09-30
9,Morris,Spoward,mspoward8@symantec.com,(291) 8760551,472,2023-02-07
10,Aluino,Chillingsworth,achillingsworth9@gmpg.org,(206) 4167118,58,2022-06-06
11,Olivie,Buggs,obuggsa@simplemachines.org,(518) 7617960,326,2022-08-14
12,Price,Pedel,ppedelb@chicagotribune.com,(744) 5462759,516,2025-08-02
13,Joyce,Form,jformc@vinaora.com,(131) 9194430,594,2022-02-24
14,Merci,Surpliss,msurplissd@amazon.co.uk,(400) 7562223,543,2022-12-23
15,Zebedee,Ardley,zardleye@cbsnews.com,(680) 9801908,170,2022-01-11
16,Lewiss,Warmington,lwarmingtonf@spiegel.de,(410) 7740447,328,2022-02-26
17,Paolina,Wixey,pwixeyg@berkeley.edu,(160) 8086617,479,2024-11-15
18,Eddi,Pakenham,epakenhamh@e-recht24.de,(791) 6115848,364,2023-02-05
19,Anette,Cutmere,acutmerei@nytimes.com,(198) 7080371,287,2022-01-07
20,Chloe,Bunce,cbuncej@nature.com,(612) 1352505,52,2023-03-01
21,Ebenezer,Linny,elinnyk@hp.com,(667) 8460221,592,2024-05-20
22,Daffie,Hestrop,dhestropl@globo.com,(458) 8202457,170,2023-05-02
23,Cort,Breadon,cbreadonm@woothemes.com,(330) 2752736,537,2025-03-30
24,Alec,Kaspar,akasparn@mozilla.org,(375) 8262733,387,2022-06-12
25,Rozalie,Haskayne,rhaskayneo@mozilla.org,(521) 6031031,223,2023-09-01
26,Shelby,Cirlos,scirlosp@so-net.ne.jp,(875) 8780439,514,2024-08-15
27,Ebony,Caghan,ecaghanq@nps.gov,(196) 1269800,513,2022-03-18
28,Maje,Ebourne,mebourner@altervista.org,(345) 3249808,538,2022-12-31
29,Shaw,Derges,sdergess@i2i.jp,(368) 2504004,103,2024-12-27
30,Maryanna,Tulip,mtulipt@artisteer.com,(242) 3410944,122,2025-03-06
31,Corrie,Wealthall,cwealthallu@wsj.com,(885) 2623387,197,2023-10-12
32,Stacy,Hurlston,shurlstonv@usgs.gov,(997) 1618166,116,2023-12-16
33,Nicki,Terzza,nterzzaw@springer.com,(813) 3858774,463,2022-01-11
